length,depth,tautology,CPU time (sec),peak memory (bytes)
8,3,False,0.015625,5746
8,3,True,0.015625,4321
8,3,False,0.03125,20754
8,4,False,0.03125,22855
8,3,False,0.0,6924
8,5,False,0.21875,215835
8,2,False,0.015625,12477
8,2,False,0.0,6991
8,3,False,0.078125,23858
8,4,False,0.015625,7231
8,3,False,0.0,9467
8,3,True,0.015625,4207
8,3,False,0.046875,14542
8,3,False,0.09375,62986
8,3,False,0.0,9537
8,3,False,0.015625,4611
8,3,True,0.046875,24532
8,4,False,0.03125,23732
8,3,False,0.0,5526
8,2,True,0.015625,4644
8,4,True,0.03125,9319
8,2,False,0.015625,8145
8,3,False,0.0,6083
8,4,False,0.0625,35284
8,5,False,0.046875,24627
8,3,False,0.03125,6772
8,2,False,0.015625,8823
8,3,False,0.015625,6948
8,3,False,0.015625,10418
8,2,False,0.015625,19488
8,3,False,0.046875,10927
8,3,False,0.015625,8946
8,3,False,0.015625,6052
8,2,True,0.03125,10633
8,2,False,0.0,4689
8,4,False,0.015625,6995
8,3,False,0.0,8316
8,3,True,0.0,4051
8,2,False,0.0,3968
8,5,False,0.015625,7583
8,3,False,0.03125,19056
8,4,False,0.015625,8257
8,2,False,0.015625,6965
8,3,False,0.0,8787
8,3,False,0.0,7193
8,2,False,0.015625,5879
8,3,True,0.0625,3933
8,3,False,0.09375,10331
8,4,True,0.046875,16611
8,3,False,0.0,9347
8,2,True,0.0,8977
8,4,False,0.015625,22440
8,3,False,0.015625,17769
8,4,False,0.0625,20328
8,2,True,0.015625,3456
8,2,False,0.0,6587
8,3,False,0.0,6561
8,2,False,0.03125,15608
8,2,False,0.015625,7091
8,3,False,0.015625,17100
8,2,True,0.0,3282
8,3,False,0.015625,11232
8,2,False,0.015625,4475
8,3,True,0.015625,6574
8,2,True,0.03125,6837
8,4,False,0.046875,21759
8,3,True,0.078125,10862
8,2,False,0.015625,8931
8,5,False,0.03125,40149
8,3,False,0.015625,9575
8,4,False,0.015625,7043
8,5,False,0.046875,25829
8,2,False,0.015625,6350
8,2,True,0.03125,4967
8,4,False,0.453125,54918
8,3,True,0.03125,8377
8,3,False,0.015625,4552
8,4,False,0.078125,39847
8,5,False,0.109375,24989
8,2,False,0.03125,16062
8,4,False,0.078125,23197
8,5,False,0.296875,75816
8,3,False,0.0,8967
8,4,False,0.09375,22771
8,3,False,0.03125,14740
8,4,False,0.046875,27836
8,2,False,0.015625,9361
8,4,False,0.203125,43298
8,3,False,0.015625,7181
8,2,False,0.015625,3971
8,2,False,0.046875,10630
8,2,False,0.015625,6750
8,3,False,0.0,9501
8,3,False,0.015625,8618
8,3,False,0.015625,9143
8,4,False,0.0,10363
8,3,False,0.0625,17074
8,4,False,0.171875,22821
8,3,False,0.015625,18286
8,3,False,0.015625,5502
8,3,False,0.046875,15708
8,3,True,0.03125,11691
8,3,False,0.015625,11954
8,4,True,0.03125,12541
8,3,False,0.046875,13930
8,4,False,0.015625,22618
8,4,False,0.015625,24730
8,3,False,0.015625,4641
8,4,False,0.0,4861
8,3,False,0.03125,7812
8,2,False,0.015625,8073
8,4,False,0.0,6441
8,4,False,0.046875,8893
8,3,False,0.015625,7424
8,4,False,0.03125,15184
8,3,False,0.03125,6323
8,3,False,0.0625,12346
8,3,False,0.0,5071
